source_id,material_label,notes,SiO2_mol_frac,Na2O_mol_frac,GeO2_mol_frac,E_GPa,rho_kg_m3,family,TiO2_mol_frac,PbO_mol_frac,RO_mol_frac,WO3_mol_frac,Bi2O3_mol_frac,ZrO2_mol_frac,K2O_mol_frac,Li2O_mol_frac,MgO_mol_frac,CaO_mol_frac,ZnO_mol_frac,SrO_mol_frac,B2O3_mol_frac,Al2O3_mol_frac,BaO_mol_frac,alpha_1e6_K,P2O5_mol_frac,FemOn_mol_frac
SG-215-20097,SG-215-20097,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.1060948085784912,0.1060948085784912,0.7524454498291016,65.0999984741211,3798.00009727478,germanate,,,,,,,,,,,,,,,,,,
SG-215-20099,SG-215-20099,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10129310607910157,0.10129310607910157,0.7183908081054687,56.79999923706055,3700.000047683716,germanate,,,,,,,,,,,,,,,,,,
SG-216-20148,SG-216-20148,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09922589302062988,0.09922589302062988,0.7037297058105468,66.5,4385.000228881836,germanate,,0.09781842231750489,0.09781842231750489,,,,,,,,,,,,,,,
SG-216-20149,SG-216-20149,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09456740379333496,0.09456740379333496,0.6706907653808594,65.5,4605.999946594238,germanate,,0.14017437934875487,0.14017437934875487,,,,,,,,,,,,,,,
SG-216-20150,SG-216-20150,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09313077926635742,0.09313077926635742,0.6605019378662109,63.5,4676.000118255615,germanate,,0.15323644638061523,0.15323644638061523,,,,,,,,,,,,,,,
SG-216-20137,SG-216-20137,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10746950149536133,0.10746950149536133,0.7621950531005859,70.30000305175781,3898.0000019073486,germanate,,,,,,,,,,,,,,,,,,
SG-216-20139,SG-216-20139,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10187862396240234,0.10187862396240234,0.7225434112548829,67.9000015258789,3950.000047683716,germanate,,,,,,,,,,,,,,,,,,
SG-216-20140,SG-216-20140,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09887798309326172,0.09887798309326172,0.70126220703125,66.9000015258789,3999.000072479248,germanate,,,,,,,,,,,,,,,,,,
SG-216-20185,SG-216-20185,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10879630088806153,0.10879630088806153,0.7716049194335938,71.0999984741211,3911.00001335144,germanate,,,,,,,,,,,,,,,,,,
SG-216-20188,SG-216-20188,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10561798095703123,0.10561798095703123,0.7490636444091797,74.0999984741211,4105.999946594238,germanate,,,,,,,,,,,,,,,,,,
SG-216-20190,SG-216-20190,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10262009620666504,0.10262009620666504,0.7278020477294922,75.5999984741211,4239.999771118164,germanate,,,,,,,,,,,,,,,,,,
SG-216-20191,SG-216-20191,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10071429252624511,0.10071429252624511,0.7142857360839844,76.19999694824219,4326.000213623047,germanate,,,,,,,,,,,,,,,,,,
SG-216-20192,SG-216-20192,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09853249549865724,0.09853249549865724,0.6988120269775391,76.69999694824219,4412.000179290772,germanate,,,,,,,,,,,,,,,,,,
SG-216-20193,SG-216-20193,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09624573707580567,0.09624573707580567,0.6825938415527344,77.9000015258789,4513.000011444092,germanate,,,,,,,,,,,,,,,,,,
SG-216-20195,SG-216-20195,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.0905006504058838,0.0905006504058838,0.6418485260009765,83.19999694824219,4862.99991607666,germanate,,,,,,,,,,,,,,,,,,
SG-216-20196,SG-216-20196,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10888031005859376,0.10888031005859376,0.7722007751464843,69.9000015258789,3874.000072479248,germanate,,,,0.010038610696792604,,,,,,,,,,,,,,
SG-216-20197,SG-216-20197,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10763358116149903,0.10763358116149903,0.7633587646484375,68.69999694824219,3915.9998893737793,germanate,,,,0.021374044418334962,,,,,,,,,,,,,,
SG-216-20198,SG-216-20198,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10649547576904297,0.10649547576904297,0.755287094116211,67.5999984741211,3904.0000438690186,germanate,,,,0.03172205686569214,,,,,,,,,,,,,,
SG-216-20199,SG-216-20199,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10514540672302246,0.10514540672302246,0.7457121276855468,66.5,3897.0000743865967,germanate,,,,0.04399701595306396,,,,,,,,,,,,,,
SG-216-20200,SG-216-20200,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.103905668258667,0.103905668258667,0.7369196319580078,65.5999984741211,3888.000011444092,germanate,,,,0.05526897430419922,,,,,,,,,,,,,,
SG-216-20201,SG-216-20201,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10262009620666504,0.10262009620666504,0.7278020477294922,65.4000015258789,3877.000093460083,germanate,,,,0.06695778846740723,,,,,,,,,,,,,,
SG-216-20202,SG-216-20202,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09985834121704101,0.09985834121704101,0.7082152557373047,63.20000076293945,3832.0000171661377,germanate,,,,0.09206798553466797,,,,,,,,,,,,,,
SG-217-20117,SG-217-20117,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09050064086914063,0.09050064086914063,0.8189987182617188,66.80000305175781,3809.999942779541,germanate,,,,,,,,,,,,,,,,,,
SG-217-20118,SG-217-20118,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.08719852447509766,0.08719852447509766,0.82560302734375,65.80000305175781,3811.000108718872,germanate,,,,,,,,,,,,,,,,,,
SG-217-20119,SG-217-20119,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.0838786506652832,0.0838786506652832,0.8322427368164063,64.69999694824219,3813.999891281128,germanate,,,,,,,,,,,,,,,,,,
SG-217-20120,SG-217-20120,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.08126802444458008,0.08126802444458008,0.8374639892578125,63.79999923706055,3809.000015258789,germanate,,,,,,,,,,,,,,,,,,
SG-217-20121,SG-217-20121,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.07837687969207764,0.07837687969207764,0.8432463073730468,62.5,3799.999952316284,germanate,,,,,,,,,,,,,,,,,,
SG-217-20113,SG-217-20113,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10657596588134766,0.10657596588134766,0.78684814453125,70.5,3801.0001182556152,germanate,,,,,,,,,,,,,,,,,,
SG-217-20114,SG-217-20114,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.10232220649719238,0.10232220649719238,0.7953555297851562,69.5,3802.999973297119,germanate,,,,,,,,,,,,,,,,,,
SG-217-20115,SG-217-20115,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09784871101379396,0.09784871101379396,0.8043025207519531,68.69999694824219,3803.999900817871,germanate,,,,,,,,,,,,,,,,,,
SG-217-20116,SG-217-20116,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09425134658813476,0.09425134658813476,0.8114973449707031,67.5999984741211,3806.999921798706,germanate,,,,,,,,,,,,,,,,,,
SG-217-20122,SG-217-20122,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.07588805198669434,0.07588805198669434,0.848223876953125,61.400001525878906,3796.999931335449,germanate,,,,,,,,,,,,,,,,,,
